month,ndvi_clim_mean,ndvi_clim_std,n_years,month_name
1,-0.01233125300598237,0.02787512753193837,14,Jan
2,0.01425583732605796,0.0333722418868756,14,Feb
3,0.05070208418451309,0.04623965463822009,14,Mar
4,0.1291575927462574,0.02693929719812675,14,Apr
5,0.2973686354416904,0.022318716055203115,14,May
6,0.34993745895661915,0.021644067694412576,14,Jun
7,0.35044125545933047,0.031694449567671854,14,Jul
8,0.334844568885483,0.028260718497167794,14,Aug
9,0.3007607638933458,0.03305089703206518,14,Sep
10,0.2309925399591588,0.047221803331850935,14,Oct
11,0.07978438326235847,0.04335319834566045,14,Nov
12,0.03734421126132431,0.03611900433369676,14,Dec
